Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Asian,61
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Asian,86
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,All,15
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,All,94
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,All,149
FREMONT HIGH SCHOOL52205,Oakland,Alameda,enr,FREMONT HIGH SCHOOL,Hispanic/ Latino,
FREMONT HIGH SCHOOL52205,Oakland,Alameda,adm,FREMONT HIGH SCHOOL,Hispanic/ Latino,4
FREMONT HIGH SCHOOL52205,Oakland,Alameda,app,FREMONT HIGH SCHOOL,Hispanic/ Latino,13
FREMONT HIGH SCHOOL52205,Oakland,Alameda,enr,FREMONT HIGH SCHOOL,All,
FREMONT HIGH SCHOOL52205,Oakland,Alameda,adm,FREMONT HIGH SCHOOL,All,5
FREMONT HIGH SCHOOL52205,Oakland,Alameda,app,FREMONT HIGH SCHOOL,All,17
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,White,4
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,White,20
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,White,35
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Asian,8
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Asian,18
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Hispanic/ Latino,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Hispanic/ Latino,6
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Hispanic/ Latino,13
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,All,6
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,All,37
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,All,69
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,Asian,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,Asian,7
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,Asian,7
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,Hispanic/ Latino,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,Hispanic/ Latino,4
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,Hispanic/ Latino,11
