Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,app,AMERICAN INDIAN PUBLIC SCHOOL,All,25
ARISE HIGH SCHOOL54258,Oakland,Alameda,enr,ARISE HIGH SCHOOL,Hispanic/ Latino,
ARISE HIGH SCHOOL54258,Oakland,Alameda,adm,ARISE HIGH SCHOOL,Hispanic/ Latino,
ARISE HIGH SCHOOL54258,Oakland,Alameda,app,ARISE HIGH SCHOOL,Hispanic/ Latino,7
ARISE HIGH SCHOOL54258,Oakland,Alameda,enr,ARISE HIGH SCHOOL,All,
ARISE HIGH SCHOOL54258,Oakland,Alameda,adm,ARISE HIGH SCHOOL,All,
ARISE HIGH SCHOOL54258,Oakland,Alameda,app,ARISE HIGH SCHOOL,All,8
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,Asian,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,adm,ARROYO HIGH SCHOOL,Asian,3
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,app,ARROYO HIGH SCHOOL,Asian,32
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,Hispanic/ Latino,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,adm,ARROYO HIGH SCHOOL,Hispanic/ Latino,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,app,ARROYO HIGH SCHOOL,Hispanic/ Latino,8
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,All,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,adm,ARROYO HIGH SCHOOL,All,5
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,app,ARROYO HIGH SCHOOL,All,44
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,enr,ASPIRE LIONEL WILSON COLG PREP,All,
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,adm,ASPIRE LIONEL WILSON COLG PREP,All,
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,app,ASPIRE LIONEL WILSON COLG PREP,All,15
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,White,16
