Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,app,ASPIRE GOLDEN STATE PREP ACADEMY,Hispanic/ Latino,15,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,enr,ASPIRE GOLDEN STATE PREP ACADEMY,All,3,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,adm,ASPIRE GOLDEN STATE PREP ACADEMY,All,4,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,app,ASPIRE GOLDEN STATE PREP ACADEMY,All,17,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,enr,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,3,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,adm,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,3,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,app,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,14,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,enr,COLISEUM COLLEGE PREP ACADEMY,All,4,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,adm,COLISEUM COLLEGE PREP ACADEMY,All,4,94621
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,app,COLISEUM COLLEGE PREP ACADEMY,All,15,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,enr,LIGHTHOUSE COMMUNITY CHAR HS,Hispanic/ Latino,3,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,adm,LIGHTHOUSE COMMUNITY CHAR HS,Hispanic/ Latino,3,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,app,LIGHTHOUSE COMMUNITY CHAR HS,Hispanic/ Latino,14,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,enr,LIGHTHOUSE COMMUNITY CHAR HS,All,4,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,adm,LIGHTHOUSE COMMUNITY CHAR HS,All,4,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,Oakland,app,LIGHTHOUSE COMMUNITY CHAR HS,All,19,94621
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,Inter- national,,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,Inter- national,,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,Inter- national,5,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,Domestic Unknown,,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,Domestic Unknown,,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,Domestic Unknown,11,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,White,12,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,White,36,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,White,116,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,Asian,5,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,Asian,11,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,Asian,54,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,Hispanic/ Latino,3,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,Hispanic/ Latino,8,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,Hispanic/ Latino,35,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,African American,,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,African American,3,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,African American,36,94704
BERKELEY HIGH SCHOOL50290,Berkeley,enr,BERKELEY HIGH SCHOOL,All,22,94704
BERKELEY HIGH SCHOOL50290,Berkeley,adm,BERKELEY HIGH SCHOOL,All,58,94704
BERKELEY HIGH SCHOOL50290,Berkeley,app,BERKELEY HIGH SCHOOL,All,257,94704
ALBANY HIGH SCHOOL50035,Albany,enr,ALBANY HIGH SCHOOL,White,7,94706
ALBANY HIGH SCHOOL50035,Albany,adm,ALBANY HIGH SCHOOL,White,8,94706
ALBANY HIGH SCHOOL50035,Albany,app,ALBANY HIGH SCHOOL,White,27,94706
ALBANY HIGH SCHOOL50035,Albany,enr,ALBANY HIGH SCHOOL,Asian,6,94706
ALBANY HIGH SCHOOL50035,Albany,adm,ALBANY HIGH SCHOOL,Asian,10,94706
ALBANY HIGH SCHOOL50035,Albany,app,ALBANY HIGH SCHOOL,Asian,49,94706
ALBANY HIGH SCHOOL50035,Albany,enr,ALBANY HIGH SCHOOL,Hispanic/ Latino,,94706
ALBANY HIGH SCHOOL50035,Albany,adm,ALBANY HIGH SCHOOL,Hispanic/ Latino,,94706
ALBANY HIGH SCHOOL50035,Albany,app,ALBANY HIGH SCHOOL,Hispanic/ Latino,16,94706
ALBANY HIGH SCHOOL50035,Albany,enr,ALBANY HIGH SCHOOL,African American,,94706
ALBANY HIGH SCHOOL50035,Albany,adm,ALBANY HIGH SCHOOL,African American,,94706
ALBANY HIGH SCHOOL50035,Albany,app,ALBANY HIGH SCHOOL,African American,8,94706
ALBANY HIGH SCHOOL50035,Albany,enr,ALBANY HIGH SCHOOL,All,14,94706
ALBANY HIGH SCHOOL50035,Albany,adm,ALBANY HIGH SCHOOL,All,20,94706
ALBANY HIGH SCHOOL50035,Albany,app,ALBANY HIGH SCHOOL,All,105,94706
REALM CHARTER HIGH SCHOOL50311,Berkeley,enr,REALM CHARTER HIGH SCHOOL,Hispanic/ Latino,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,adm,REALM CHARTER HIGH SCHOOL,Hispanic/ Latino,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,app,REALM CHARTER HIGH SCHOOL,Hispanic/ Latino,5,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,enr,REALM CHARTER HIGH SCHOOL,African American,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,adm,REALM CHARTER HIGH SCHOOL,African American,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,app,REALM CHARTER HIGH SCHOOL,African American,5,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,enr,REALM CHARTER HIGH SCHOOL,All,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,adm,REALM CHARTER HIGH SCHOOL,All,,94710
REALM CHARTER HIGH SCHOOL50311,Berkeley,app,REALM CHARTER HIGH SCHOOL,All,12,94710
