Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
TENNYSON HIGH SCHOOL51152,Hayward,adm,TENNYSON HIGH SCHOOL,Hispanic/ Latino,4,94544
TENNYSON HIGH SCHOOL51152,Hayward,app,TENNYSON HIGH SCHOOL,Hispanic/ Latino,16,94544
TENNYSON HIGH SCHOOL51152,Hayward,enr,TENNYSON HIGH SCHOOL,All,3,94544
TENNYSON HIGH SCHOOL51152,Hayward,adm,TENNYSON HIGH SCHOOL,All,5,94544
TENNYSON HIGH SCHOOL51152,Hayward,app,TENNYSON HIGH SCHOOL,All,27,94544
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,enr,IMPACT ACAD ARTS/TECHNOLOGY,Asian,,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,adm,IMPACT ACAD ARTS/TECHNOLOGY,Asian,,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,app,IMPACT ACAD ARTS/TECHNOLOGY,Asian,8,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,enr,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,adm,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,app,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,19,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,enr,IMPACT ACAD ARTS/TECHNOLOGY,All,,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,adm,IMPACT ACAD ARTS/TECHNOLOGY,All,4,94545
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,app,IMPACT ACAD ARTS/TECHNOLOGY,All,34,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,enr,LEADERSHIP PUBLIC SCH HAYWARD,Asian,6,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,adm,LEADERSHIP PUBLIC SCH HAYWARD,Asian,6,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,app,LEADERSHIP PUBLIC SCH HAYWARD,Asian,14,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,enr,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,adm,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,app,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,13,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,enr,LEADERSHIP PUBLIC SCH HAYWARD,All,9,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,adm,LEADERSHIP PUBLIC SCH HAYWARD,All,9,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,app,LEADERSHIP PUBLIC SCH HAYWARD,All,33,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,enr,MOUNT EDEN HIGH SCHOOL,Asian,,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,adm,MOUNT EDEN HIGH SCHOOL,Asian,,94545
