Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,enr,MISSION SAN JOSE HIGH SCHOOL,Asian,40
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,adm,MISSION SAN JOSE HIGH SCHOOL,Asian,70
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,app,MISSION SAN JOSE HIGH SCHOOL,Asian,260
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,enr,MISSION SAN JOSE HIGH SCHOOL,All,47
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,adm,MISSION SAN JOSE HIGH SCHOOL,All,79
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,app,MISSION SAN JOSE HIGH SCHOOL,All,299
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,Asian,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,Asian,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,Asian,7
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,Hispanic/ Latino,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,Hispanic/ Latino,3
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,Hispanic/ Latino,18
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,enr,HAYWARD HIGH SCHOOL,African American,3
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,adm,HAYWARD HIGH SCHOOL,African American,4
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,app,HAYWARD HIGH SCHOOL,African American,10
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,enr,HAYWARD HIGH SCHOOL,All,6
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,adm,HAYWARD HIGH SCHOOL,All,9
HAYWARD HIGH SCHOOL51150,Alameda,Alameda,app,HAYWARD HIGH SCHOOL,All,36
SILVER OAK HIGH SCHOOL54774,Alameda,Alameda,enr,SILVER OAK HIGH SCHOOL,All,
SILVER OAK HIGH SCHOOL54774,Alameda,Alameda,adm,SILVER OAK HIGH SCHOOL,All,
SILVER OAK HIGH SCHOOL54774,Alameda,Alameda,app,SILVER OAK HIGH SCHOOL,All,5
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,enr,TENNYSON HIGH SCHOOL,Asian,
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,adm,TENNYSON HIGH SCHOOL,Asian,
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,app,TENNYSON HIGH SCHOOL,Asian,10
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,enr,TENNYSON HIGH SCHOOL,Hispanic/ Latino,3
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,adm,TENNYSON HIGH SCHOOL,Hispanic/ Latino,4
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,app,TENNYSON HIGH SCHOOL,Hispanic/ Latino,16
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,enr,TENNYSON HIGH SCHOOL,All,3
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,adm,TENNYSON HIGH SCHOOL,All,5
TENNYSON HIGH SCHOOL51152,Alameda,Alameda,app,TENNYSON HIGH SCHOOL,All,27
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,enr,IMPACT ACAD ARTS/TECHNOLOGY,Asian,
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,adm,IMPACT ACAD ARTS/TECHNOLOGY,Asian,
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,app,IMPACT ACAD ARTS/TECHNOLOGY,Asian,8
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,enr,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,adm,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,app,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,19
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,enr,IMPACT ACAD ARTS/TECHNOLOGY,All,
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,adm,IMPACT ACAD ARTS/TECHNOLOGY,All,4
IMPACT ACAD ARTS/TECHNOLOGY54255,Alameda,Alameda,app,IMPACT ACAD ARTS/TECHNOLOGY,All,34
LEADERSHIP PUBLIC SCH HAYWARD51231,Alameda,Alameda,enr,LEADERSHIP PUBLIC SCH HAYWARD,Asian,6
LEADERSHIP PUBLIC SCH HAYWARD51231,Alameda,Alameda,adm,LEADERSHIP PUBLIC SCH HAYWARD,Asian,6
LEADERSHIP PUBLIC SCH HAYWARD51231,Alameda,Alameda,app,LEADERSHIP PUBLIC SCH HAYWARD,Asian,14
LEADERSHIP PUBLIC SCH HAYWARD51231,Alameda,Alameda,enr,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,Alameda,adm,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,Alameda,app,LEADERSHIP PUBLIC SCH HAYWARD,Hispanic/ Latino,13
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,Alameda,enr,LEADERSHIP PUBLIC SCH HAYWARD,All,9
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,Alameda,adm,LEADERSHIP PUBLIC SCH HAYWARD,All,9
LEADERSHIP PUBLIC SCH HAYWARD51231,Hayward,Alameda,app,LEADERSHIP PUBLIC SCH HAYWARD,All,33
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,enr,MOUNT EDEN HIGH SCHOOL,Asian,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,adm,MOUNT EDEN HIGH SCHOOL,Asian,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,app,MOUNT EDEN HIGH SCHOOL,Asian,32
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,enr,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,adm,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,app,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,15
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,enr,MOUNT EDEN HIGH SCHOOL,African American,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,adm,MOUNT EDEN HIGH SCHOOL,African American,
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,app,MOUNT EDEN HIGH SCHOOL,African American,6
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,enr,MOUNT EDEN HIGH SCHOOL,All,3
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,adm,MOUNT EDEN HIGH SCHOOL,All,6
MOUNT EDEN HIGH SCHOOL51153,Hayward,Alameda,app,MOUNT EDEN HIGH SCHOOL,All,59
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,White,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,White,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,White,27
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,Asian,5
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,Asian,9
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,Asian,71
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,3
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,3
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,23
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,African American,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,African American,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,African American,9
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,All,11
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,All,15
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,All,135
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,White,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,White,4
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,White,38
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Asian,19
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Hispanic/ Latino,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Hispanic/ Latino,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Hispanic/ Latino,10
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,All,4
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,All,7
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,All,70
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,enr,LIVERMORE HIGH SCHOOL,White,
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,adm,LIVERMORE HIGH SCHOOL,White,
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,app,LIVERMORE HIGH SCHOOL,White,20
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,enr,LIVERMORE HIGH SCHOOL,Asian,3
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,adm,LIVERMORE HIGH SCHOOL,Asian,3
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,app,LIVERMORE HIGH SCHOOL,Asian,16
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,enr,LIVERMORE HIGH SCHOOL,All,3
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,adm,LIVERMORE HIGH SCHOOL,All,5
LIVERMORE HIGH SCHOOL51425,Livermore,Alameda,app,LIVERMORE HIGH SCHOOL,All,39
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,enr,LIVERMORE VALLEY CHARTER PREP,White,
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,adm,LIVERMORE VALLEY CHARTER PREP,White,
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,app,LIVERMORE VALLEY CHARTER PREP,White,6
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,enr,LIVERMORE VALLEY CHARTER PREP,All,
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,adm,LIVERMORE VALLEY CHARTER PREP,All,
LIVERMORE VALLEY CHARTER PREP51541,Livermore,Alameda,app,LIVERMORE VALLEY CHARTER PREP,All,7
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,enr,NEWARK MEMORIAL HIGH SCHOOL,Asian,
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,adm,NEWARK MEMORIAL HIGH SCHOOL,Asian,
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,app,NEWARK MEMORIAL HIGH SCHOOL,Asian,20
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,enr,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,adm,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,app,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,13
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,enr,NEWARK MEMORIAL HIGH SCHOOL,All,3
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,adm,NEWARK MEMORIAL HIGH SCHOOL,All,3
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,Alameda,app,NEWARK MEMORIAL HIGH SCHOOL,All,39
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,5
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,17
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,White,4
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,White,6
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,White,47
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Asian,22
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Asian,38
