Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,adm,COLISEUM COLLEGE PREP ACADEMY,All,
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,app,COLISEUM COLLEGE PREP ACADEMY,All,10
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Domestic Unknown,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Domestic Unknown,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Domestic Unknown,6
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,White,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,White,6
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,White,20
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Asian,5
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Asian,39
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Asian,94
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Hispanic/ Latino,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Hispanic/ Latino,3
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Hispanic/ Latino,9
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,African American,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,African American,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,African American,5
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,All,6
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,All,53
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,All,134
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,enr,EMERY SECONDARY SCHOOL,African American,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,adm,EMERY SECONDARY SCHOOL,African American,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,app,EMERY SECONDARY SCHOOL,African American,6
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,enr,EMERY SECONDARY SCHOOL,All,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,adm,EMERY SECONDARY SCHOOL,All,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,app,EMERY SECONDARY SCHOOL,All,8
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,Asian,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,Asian,6
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,Asian,23
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,All,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,All,8
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,All,29
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,6
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,All,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,All,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,All,12
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,White,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,White,5
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,White,38
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Asian,4
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Asian,31
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Asian,98
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,African American,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,African American,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,African American,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,All,5
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,All,37
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,All,148
FREMONT HIGH SCHOOL52205,Oakland,Alameda,enr,FREMONT HIGH SCHOOL,All,
FREMONT HIGH SCHOOL52205,Oakland,Alameda,adm,FREMONT HIGH SCHOOL,All,
FREMONT HIGH SCHOOL52205,Oakland,Alameda,app,FREMONT HIGH SCHOOL,All,8
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,White,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,White,11
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,White,33
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Asian,3
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Asian,14
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,All,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,All,16
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,All,52
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,Asian,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,Asian,3
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,Asian,9
